componet_no,group_id,length,width,material_no,material_width,materail_length
225A8220-020-005-17,167,1027,822,110000000331,1320,4000
225A8220-020-005-18,167,1027,822,110000000331,1320,4000
225A8220-020-005-19,167,1027,822,110000000331,1320,4000
225A8220-020-005-20,167,1027,822,110000000331,1320,4000
225A8220-020-005-21,167,1027,822,110000000331,1320,4000
225A8220-020-005-22,167,1027,822,110000000331,1320,4000
225A8220-020-005-23,167,1027,822,110000000331,1320,4000
225A8220-030-003-0,168,875,670,110000000331,1320,4000
225A8220-030-003-1,168,875,670,110000000331,1320,4000
225A8220-030-005-0,168,1027,822,110000000331,1320,4000
225A8220-030-005-1,168,1027,822,110000000331,1320,4000
225A8220-040-003-0,169,880,670,110000000331,1320,4000
225A8220-040-003-1,169,880,670,110000000331,1320,4000
225A8220-040-003-2,169,880,670,110000000331,1320,4000
225A8220-040-003-3,169,880,670,110000000331,1320,4000
225A8220-040-003-4,169,880,670,110000000331,1320,4000
225A8220-040-003-5,169,880,670,110000000331,1320,4000
225A8220-040-005-0,169,1032,822,110000000331,1320,4000
225A8220-040-005-1,169,1032,822,110000000331,1320,4000
225A8220-040-005-2,169,1032,822,110000000331,1320,4000
225A8220-040-005-3,169,1032,822,110000000331,1320,4000
225A8220-040-005-4,169,1032,822,110000000331,1320,4000
225A8220-040-005-5,169,1032,822,110000000331,1320,4000
225A8220-050-003-0,170,865,390,110000000631,1320,4000
225A8220-050-003-1,170,865,390,110000000631,1320,4000
225A8220-050-005-0,170,1017,542,110000000631,1320,4000
225A8220-050-005-1,170,1017,542,110000000631,1320,4000
225A8220-060-003-0,171,865,670,110000000631,1320,4000
225A8220-060-003-1,171,865,670,110000000631,1320,4000
225A8220-060-005-0,171,1017,822,110000000631,1320,4000
225A8220-060-005-1,171,1017,822,110000000631,1320,4000
225A8220-070-003-0,172,865,670,110000000631,1320,4000
225A8220-070-003-1,172,865,670,110000000631,1320,4000
225A8220-070-003-2,172,865,670,110000000631,1320,4000
225A8220-070-003-3,172,865,670,110000000631,1320,4000
225A8220-070-003-4,172,865,670,110000000631,1320,4000
225A8220-070-003-5,172,865,670,110000000631,1320,4000
225A8220-070-003-6,172,865,670,110000000631,1320,4000
225A8220-070-003-7,172,865,670,110000000631,1320,4000
225A8220-070-003-8,172,865,670,110000000631,1320,4000
225A8220-070-003-9,172,865,670,110000000631,1320,4000
225A8220-070-003-10,172,865,670,110000000631,1320,4000
225A8220-070-003-11,172,865,670,110000000631,1320,4000
225A8220-070-003-12,172,865,670,110000000631,1320,4000
225A8220-070-003-13,172,865,670,110000000631,1320,4000
225A8220-070-003-14,172,865,670,110000000631,1320,4000
225A8220-070-003-15,172,865,670,110000000631,1320,4000
225A8220-070-003-16,172,865,670,110000000631,1320,4000
225A8220-070-003-17,172,865,670,110000000631,1320,4000
225A8220-070-003-18,172,865,670,110000000631,1320,4000
225A8220-070-003-19,172,865,670,110000000631,1320,4000
225A8220-070-003-20,172,865,670,110000000631,1320,4000
225A8220-070-003-21,172,865,670,110000000631,1320,4000
225A8220-070-003-22,172,865,670,110000000631,1320,4000
225A8220-070-003-23,172,865,670,110000000631,1320,4000
225A8220-070-003-24,172,865,670,110000000631,1320,4000
225A8220-070-003-25,172,865,670,110000000631,1320,4000
225A8220-070-003-26,172,865,670,110000000631,1320,4000
225A8220-070-003-27,172,865,670,110000000631,1320,4000
225A8220-070-003-28,172,865,670,110000000631,1320,4000
225A8220-070-003-29,172,865,670,110000000631,1320,4000
225A8220-070-003-30,172,865,670,110000000631,1320,4000
